0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
3562992066.6345024;2853626540.9525213;1024324972.3020482;51474016.51538243;16778386.790338993;7255192.998331644;4205145.01698439;3071374.562493702;1913087.515961561;1671272.9494418805;1509917.967686775;1339975.2351668568;1196164.7751397882;
2423262474.4703193;2423262474.4703193;610166484.8167396;98161406.39082424;28013456.67590733;11220477.64564466;7433679.216884;5008113.426597855;2927414.7620500186;2079882.9387909928;1267226.571548529;879789.6898865175;725061.7460310142;
7207003853.392881;2346403820.780431;833565691.1041105;124820355.68987156;24549644.5447634;9267219.825957337;4510598.118762766;2607573.0182087864;1936865.8089208389;1342317.208099881;982164.8211642603;673454.4214136318;503023.75739996886;
3700334004.046657;2045684793.2649913;1220880903.3907814;195372880.11052096;49658363.119023174;19759707.24818913;13343407.322590468;10086130.42611166;8847722.021352442;6743963.669720854;5344715.898857774;4176346.4564442765;3310405.5031692814;
1699536504.4207387;1699536504.4207387;634706020.4897914;22105194.494234353;2681379.595747586;1728697.2378077765;1385635.9645545217;1029410.8253267116;835112.4718113482;702262.1330606445;542461.2570266017;478458.3843517873;414981.2708807136;
2858052768.4759088;2858052768.4759088;614279673.0011433;31103243.87691606;11699331.793657789;4896634.154995646;1950706.7679660642;1466573.7609048446;972024.7291346005;741329.7628067915;709113.1758972298;686585.7423152216;638467.6687603567;
4529219594.861946;3872866269.445441;1181320942.313065;151335609.55004796;43550185.028028734;17544869.229293924;9437320.94971577;5595153.558227285;4290088.0654508835;3390784.3705044896;2568396.3485899093;1816347.9536225423;1402100.4827420602;
4770961298.133923;3341404899.012932;1042038013.9417092;117211208.58054711;36469827.252692804;21327656.54325897;14465648.095521286;9818171.573530916;7137059.1276361765;6727775.567542775;5326317.800702303;4567551.724180221;4156703.3319172137;
6064299349.702353;1983997734.5821586;1074280150.889929;52144897.33696543;17706460.580030516;8588986.23062481;5895936.694970647;4222780.4606969915;2530753.642998284;1373232.0010374673;946940.2494526096;667875.8911135291;489699.30326842295;
3248474563.6716604;1017138148.8068044;662409332.6403782;50899766.66788527;11359002.202268593;4291635.153861502;2801563.153982744;1675228.4192580443;1081649.699801571;798538.2342269433;622694.1626871255;413792.1214049091;329072.6135343854;
