0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
6083741295.21856;2147797133.6945643;623231064.5035877;48493374.05844932;13502063.640141815;4555754.2659922335;3229998.77738989;2446184.2721002544;1858821.1612797584;1612671.2972716603;1453063.9593791415;1306685.112442614;1166881.5890718314;
3074816428.790634;2553172169.452336;1039524988.9015449;36785000.49860102;10955168.545793789;4497375.952244562;2908369.3618819504;2408627.9625531263;2053209.0685970352;1703618.557197716;1213514.1218243828;928823.8552912917;728185.403299627;
3128708997.745702;2134634976.6503072;650070904.9805412;41016341.34354976;8814077.487586167;3905191.2199422643;1777210.6455350774;1251741.7275307488;852638.4181111464;690309.5759984566;558583.9755461167;466655.39284715697;432423.83749833185;
3794922470.4157286;3503581471.552619;880680954.8337109;66307364.34260788;18282789.381025307;5339166.667118356;2831221.305251846;1950057.1279503237;1422371.8198527014;1133466.6766649461;900198.0905953187;505555.0005131608;343194.2161191418;
5622524589.38871;3312229574.9467683;1269609778.2522564;40368450.07428069;7917168.479703102;2336037.7498210347;1475659.9216733826;1158125.4022798801;671856.5782621875;258728.7409790392;186188.20297145838;138419.6969107785;104759.86355663843;
5472095107.642579;3596328582.200643;599353446.2766079;49942835.36579539;15834334.532030057;6247588.049361637;4317366.2896569045;2993797.6143976115;2103665.8957390017;1619616.948446483;1413402.0495854223;1286110.076004757;1010795.1557592094;
4021274509.301259;2966759630.687612;609357231.5792633;65886822.38077401;23027366.072490584;10356487.7377615;5505354.025657459;4137301.15608365;3424031.075390055;2022839.3806981847;1162852.7003944316;711494.244739549;623755.4707667058;
5249212229.24213;2343115653.5841765;663894762.7768807;36873436.6871727;7879133.17958626;3338494.121437003;2205217.988326122;1583355.975675031;1110640.7122158068;837676.8100926563;643324.5584069127;490246.52859557973;403338.87849038193;
3290712444.613449;2113860780.3842287;396745977.257503;42383283.76442295;22282554.24800583;11063468.546515876;7361319.437874413;4292168.440510039;3152648.293583712;2483879.2315751333;1987404.9013226626;1582174.2989556217;1281827.2705946965;
5967566554.017026;1183196837.9065244;753313470.7160279;40995374.0271441;7691828.478528148;2975194.9063716717;2207386.5651828367;1610661.0964516;1359653.593390297;1093607.6948979401;898486.7711312805;698201.7045690459;470051.68672199844;
5604824881.522829;2241673488.0499907;731761872.6576439;37889185.568462126;7648221.88212261;3223614.805632573;2256173.393460097;1583464.8271047545;998907.4854766398;784654.6177309885;664629.114669472;482390.7549584575;384596.34257502446;
4362139504.384542;2679036127.3673334;520115785.15903527;39637833.7021542;8472543.559232434;3099638.891866476;1468539.6546744108;1140432.1437536948;908804.8726832304;730820.1731437179;605175.707964371;348498.4889572235;265726.59862504364;
4591775437.23261;1789283312.680495;818060557.8525865;24230985.072325554;3886280.9276266126;2526195.295650222;1863852.4733907033;1359820.598146507;1164931.3264957056;1069309.219054606;964725.6035887595;862617.7232015193;790858.783757001;
3280481297.010847;3280481297.010847;824066559.167261;80441121.52423224;13515214.055936359;6061490.743709739;3809347.2276911805;2838671.469477888;2342195.1673749625;2096546.3148442665;1847288.4801920967;1508106.1351636956;911308.9074073961;
3396434780.868305;2921555306.2690406;1057539195.4122487;68654525.94147097;17475401.7039629;9032964.156442055;5715450.306803528;3688764.627992168;2157140.4267170727;1460141.151014468;798237.9760807742;599981.8264963449;547723.4820169724;
5441199266.097079;2897301281.7956295;488975248.9089212;44048977.630104035;8850120.019138336;3556120.4806490475;1116679.855690181;634479.7601347921;382021.8006776042;288073.54971979966;241636.16503113354;209603.9737029118;182260.495213845;
3320036367.8736753;3320036367.8736753;661929143.0809925;41119611.54536549;12183803.637810305;3944926.3291694433;1769474.2617399115;1249413.7448770907;977584.4899090816;842660.9615993358;658876.5736455927;489555.94830323674;338532.292778136;
2703295404.62274;2390938069.006212;681122855.6835464;70056990.73817636;27693916.648007646;9418865.407633156;2466822.42993428;1524800.881347554;1255513.6132229725;1116737.8117870898;998820.5407569304;852485.0346521843;696790.9984460918;
5635645609.453489;2878600423.453704;1162708971.9385877;85704983.84877506;16078802.844980856;6146467.7222735295;3301494.0409380416;2086786.6609871457;1474722.0143403441;991731.1697612238;618061.5343400693;509537.8954471067;407687.69382500363;
3830021882.781961;2779419533.872987;1200889289.1583242;83905205.63278107;27688441.03458167;5907143.330890799;2106701.9719370804;1008140.2989178683;791738.2851977211;706231.2747356489;667136.6185139929;631345.8444330785;568207.0021993138;
3097159844.4387317;2162553648.146155;729517561.3195248;47786453.48212316;20118006.63057425;10385769.56218267;4727385.691654002;1826870.9441064638;1308810.3801953942;1219167.4161227883;1144523.910761799;1063267.018364718;968103.624618051;
2898637496.184364;1295788197.498179;633723103.6192076;42429012.50940225;8983555.492635114;5904404.511573913;3068885.370670567;2682808.615352172;2474278.7843906656;2100912.9061053214;1864796.3776234812;1521409.9665460163;898043.7096785163;
5564320699.154671;3539194089.9275317;659003261.5696028;27609726.779024836;5560239.1091624;2025111.9323641623;662944.3932025721;313176.72083565785;209385.9183129541;124207.31223539567;49022.828208450424;25113.402356380302;20962.44475962307;
3471687093.6629105;2135130188.7504182;1036840254.0898825;65231964.037142724;23463773.8939865;8583182.878000513;4435867.46928231;1951291.8769138155;1516724.8448051424;1373835.780851655;1279698.1079373865;1164648.9792945145;1130495.1681129748;
6215553401.868879;3798678806.707952;817192554.0641152;71111176.75676857;15987581.057102885;6050978.164151994;3260964.985839365;1676226.9167333248;1056323.1624547648;594611.8430936519;428036.2361238662;339648.25556078024;274051.1283550555;
5743809259.219798;2793672111.1827936;1131722022.3314414;71253136.92982817;11975108.027302522;4668670.38152795;2343175.1712618303;1677025.7292924887;1271504.1304777695;836604.3029882532;628065.4970457423;459581.4102557972;377191.96352443093;
3514157367.9008484;1488863404.6173334;623453123.0934926;69655416.64671937;15927724.042604776;5821392.583056953;3730239.4326165593;2283355.0202677366;1728940.428968183;1323179.9824907696;1063850.7955940706;928147.4535628228;819792.0551790833;
1740533306.5310695;1740533306.5310695;711160311.5469711;60432470.61289678;9491608.275895827;4586073.072570831;2649187.6404302926;1365930.1864540314;1076335.9915781633;905106.0989002405;770943.5665345447;700790.3522171655;643451.1183086511;
4707279260.88849;2046416628.3590422;577662984.9125198;75269257.7104253;13264477.02691141;4122166.385844684;1834928.4394098849;879814.6423773981;549077.7447117607;450895.27989824046;420396.89998227067;384566.9357843164;362029.90987610695;
2914407501.93434;1086466918.3977857;692396922.0673994;28446721.983381722;12479449.836548295;3308077.627410602;1258908.393030345;761812.5332035046;492491.02862588497;371467.59320153686;272538.4849722181;218713.52214668907;194899.83877727936;
5533580134.763912;2095522061.836765;449347266.13296694;30392315.22591531;5541032.16531945;2260758.1417861255;1623079.5085358634;1259657.6765676208;1059736.4173177087;859444.5639331527;645582.0635789572;522594.87242121965;477507.21717882605;
