0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
1185416820.0504136;525312425.60818195;46779976.058732584;23725618.420099173;21256459.81281642;19690655.884301793;18492364.297652423;17045018.536985066;15148257.987848138;13760239.539335022;12421079.790150886;10183993.755847987;9069896.129919106;
137937820.00815153;118689085.10290103;29682222.88983992;16112853.810928233;12935314.395992178;11184651.98347726;10730761.490557415;10346286.68787101;9899589.413081614;8852068.574628308;8153944.889371763;7909124.126339093;7409624.9772651065;
219219858.3519287;128724705.07688738;76421632.36490926;58797805.93850275;51450396.31527254;45264496.7612131;41898580.22755249;40725541.19922516;37420827.57596144;32126697.81180878;29531345.88637216;24456729.668123703;22988328.560332175;
221845973.42242718;309924002.3368242;78060771.40085198;61075966.93697225;54272636.20236032;47249176.2799545;41486889.95703887;38891058.96870383;37818462.833538346;31388667.85336419;27527279.505397335;25073655.639331233;23222645.68163588;
358964251.8028958;59590272.80675328;37254157.4386692;21756252.954993956;19768389.4112374;19049386.901149467;15970369.55959699;14374664.06345932;11824867.193100505;11376520.823510248;9753650.670329245;9543843.988158435;8232275.594637699;
299480334.0112862;79904896.37160358;4972345.098988018;86464.31832250496;65132.545924390965;64991.05181990533;64600.20362293772;63821.65352751785;61369.879179106785;64040.93849787338;62485.2676745733;62283.65639248133;62274.44628737696;
274165594.3013114;207537557.49244744;108090914.41009386;104025349.21861263;90635174.20531869;83532141.91725877;69613666.45439367;61276532.80855871;48741607.97218324;45033534.43934813;41665954.06694107;39630323.09328151;37409785.088255696;
933797865.9731598;552706184.0610365;28740282.853472095;23397249.738138568;20787930.832218982;19451813.945196196;18187034.567494087;16353550.666595848;13820629.545203496;13111942.15841269;12472892.560602868;11543741.386807263;10605756.725500995;
399779833.6794983;349689716.4067802;94158102.244483;81938116.20527816;68976031.53571504;62760105.68764057;59406813.22360057;55693841.062032476;51297604.0858974;46738099.91516613;42804506.819275096;38250549.45352657;34758175.643984966;
335290532.6617685;109679136.37343249;33572286.46009491;27409510.603721693;24854576.51213611;21405099.875728447;20092815.076883405;18018910.39208729;16141780.5002542;14592010.73131335;11770061.50247728;11301812.752464691;9855307.060332084;
150377193.40517676;339209369.4537587;64084660.39269766;29575154.541392177;25921199.7268089;24206298.59844246;22000755.37199005;19809576.720915865;18359105.070742413;16217956.02848507;14473228.07354579;11861161.464529179;10608431.010469215;
276457510.69023067;166206399.53809348;9580826.872656759;804844.4795759191;306852.61652317346;304249.107699398;303858.85597175476;302671.6483797031;302229.93939096644;302220.22099229565;301964.80452332704;302300.62121261714;302295.8162441039;
177712263.09240466;177712263.09240466;21118697.270535346;13914259.503485924;13409696.960708058;11768636.577386813;10289306.42161664;8381341.987720751;8192249.791358754;8120877.984631444;8004023.1290900875;7489220.0554511;7349622.179912915;
278342117.5999216;275006189.271176;22148292.446517754;1097727.0295705185;701745.0241056747;696295.1148921688;691296.8647910894;690222.2390119518;688758.4119908045;687906.2636426946;683004.7610457874;680574.3830463082;679997.2382098107;
231273977.7574367;231273977.7574367;63484330.12472649;48996345.08939899;46313624.34760201;38863654.95068034;32201079.999476958;30423160.01293184;27766412.93988738;22422844.889858004;20592463.89238663;18129868.866508458;16532821.88334505;
170695409.92315316;169243639.88366088;8631862.709686853;600902.8778072986;554782.4209630003;545118.7753386731;544698.4046845118;542677.8703899944;540734.3582228243;540831.456917717;540042.7667847326;539908.0116718366;539888.8088824154;
394127091.67642015;273308494.36003757;15992468.201091362;12934131.97193218;12048173.449058622;10065393.852951495;9432522.048824344;8509959.003274076;7760179.9835963985;7642734.539698085;6998553.727967761;6803293.129930458;6446504.825370049;
