0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
134414597895.57906;122981932014.61522;60997711164.28073;98443647.94550645;640024.6093758272;323486.78338369005;275912.4577739155;272273.73922089726;385485.62362577446;285774.1974615653;318388.5307579409;272539.2405271229;434427.12243135046;
83890714672.55254;111120818087.02539;40681662505.87433;36208235.79465854;283815.98071691627;136062.1558323338;31317.963178515296;90362.42104385987;29423.354146340836;54980.21972917125;19691.614561986902;91527.96819931013;26848.66083886538;
170663719565.82346;152348437197.20963;52396723773.79413;82610470.62022938;337804.7861399201;105619.09446678011;83619.54974693834;181747.50228883684;41745.30567006726;77693.19414619716;79575.6826429664;25905.9475037687;20831.913121943497;
139287984132.39185;133404905720.44914;42259063097.700584;350596367.6062169;409797.72041413025;52168.083970950865;207052.8946572138;278603.83363671816;93241.85785150716;30575.616163842533;42533.7221253679;70636.48548025356;14510.749329117138;
147182197936.13324;113716597368.14395;43846026012.256256;33114308.246364232;237415.8935245366;75980.09940593701;20506.689773652874;234887.06835764353;24549.10233265042;15896.627817113918;100295.79401256927;259557.5505561844;31904.219607279643;
134004568022.31854;122467400529.28142;39278668146.89408;15313658.58195415;254413.45543641734;68500.69528611925;59986.26231703236;209994.664061371;43067.11813294712;35011.29718178522;26542.85664028046;304747.71845617704;56667.46594944043;
158720915396.45172;125259896297.42638;34709927405.53946;16134359.83189889;168710.70262933976;122153.78077644524;45494.97694843905;54572.8097135743;70914.11842644155;38619.656888877966;139145.5788674028;19930.46297007725;58743.69445192751;
99992150727.64545;65381091358.22428;26563484766.65321;13466011.719227606;286057.89132682414;141288.86472242264;393764.9132400422;123352.04988451542;116833.04047804014;203773.17675686235;168924.98257595036;132095.98223978633;149027.80319439046;
155484689387.95447;116086786309.10606;49336432860.86756;49897782.26807979;225881.48979426257;48305.12708677611;129155.7447756369;25972.872937419997;633152.8679203558;23947.832742507053;13004.661511215658;296582.42598317965;44878.874207141285;
123396604295.02095;137891188114.53882;50187989634.84089;23343780.41227067;457715.59182549454;98363.03181154023;69907.37801750969;119357.01275547131;129686.65868615735;160376.63626617583;53838.48257984727;67552.88559250247;123140.94241636537;
125529402166.77974;103223586274.70863;37886983100.372055;3947756.733842986;142303.83563194305;317315.24058509554;122527.2113947876;28762.274776856837;109877.5618806511;47733.40972201961;34544.36546697561;39112.86815596966;135642.46564691962;
128228170593.07208;102462844870.64351;37425866922.42847;5989964.066516535;448527.3669083841;290865.5701022852;265735.3765465788;352674.1546428502;506786.1868570163;279635.66266385844;359331.1303478261;361596.0026813317;322207.24002804665;
145521096562.45053;139774302100.58066;51582045093.02318;49808062.40051259;505300.8811219687;386354.419746355;362751.7796742827;365476.1390386414;531698.6639295926;373621.697480939;399470.78483874665;389863.35172475426;715115.649044371;
121083339222.04927;121276964650.92303;44037506968.13934;93971852.90504777;822189.8107173826;408630.8098051669;246524.3772595371;506022.1044349667;200132.61281075174;223206.1204845271;195124.6784064728;179047.23075618042;255364.01097575342;
86659287345.43747;71165357016.52533;28937846916.881046;15957550.283792876;218949.05466171814;52605.26795279216;273091.2672286936;39207.33827323203;24482.027098004102;41543.59260177513;24323.968560532525;13591.159862558072;26288.97836570861;
141801670245.08554;111584079344.6505;39687928119.85586;4362381.022006686;484674.3576560525;433515.61128682294;342530.92879025853;332700.796815724;387264.046992771;347177.6490474296;417313.314825471;345214.1567053005;325540.4634565781;
136933435816.6587;109498937667.83708;39825126346.83852;14265095.97746734;442587.71156299126;169064.61999590532;129734.96190361008;50635.51637249531;53218.607746471076;49252.031946733;115585.58894201272;154389.53931806376;158262.09185974172;
93703500304.2428;86540544495.5323;36835792958.538704;15095931.456012528;824201.339023254;162245.42505136452;966816.1132650025;158751.74890316464;126224.15918271961;113073.1122702157;117569.31751726955;121243.98593007543;124319.17850165769;
