0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
3418920349.1862555;2979294535.6383815;277089118.1090643;38653899.74269645;22249491.32354129;12401935.160068193;9422814.268287212;7595363.767534199;6579462.445149799;5549938.646342988;4428983.296458488;3882531.673771435;3399401.743143388;
5253418102.633226;3640607198.7423162;755705815.0540261;20978437.805971086;9923974.553244766;6992074.135333776;5214784.949412781;4393661.27367948;3828557.664731565;3482544.7696987316;3128154.5453349324;2504282.0033718096;2356696.0152943516;
2201086234.9141173;2209615805.2533555;836219037.0678147;33392560.46566631;9757283.672323275;5654402.539901395;4363764.220255442;3741217.739119334;3328075.8744277325;3147487.3772531776;2988866.0515496787;2924583.0946334167;2858566.1862302017;
4930513731.504308;2248071632.496338;360744367.24489665;26961787.05590955;9823000.235938495;6315933.073298754;5055144.2360110525;3588055.8228462655;3045841.387028941;2853970.700431164;2754760.324897619;2699219.795159485;2624107.883341929;
3221294917.854993;1418550120.3879175;276803885.9025568;14036101.950258246;7211259.61838536;5281337.350277632;4403274.797923488;4185785.580930879;4046478.6384160784;3985290.3859340665;3866688.318851979;3778792.3993455465;3715176.6733090105;
3875615654.308894;2337671122.35867;678378804.0073066;42813608.74056519;13574657.546564866;10090339.052320579;9026685.541527413;8359952.820631705;8088095.000021273;7924787.483824005;7745919.406614746;7596102.379907259;7539183.5689589875;
3358504335.687717;2054344428.8232498;515628123.4212155;38640197.14368782;20529671.963369098;13998462.241733622;10501677.279085182;8378032.688567149;7200183.854609237;6468651.201263073;5279075.845857634;4393791.979703425;3740665.3142131534;
4457692099.753925;1972976796.5341017;651940487.0165867;124450487.82808161;54066982.26763678;28908992.701986644;18805022.461857915;14293521.86013327;11299425.471772445;9911733.2030318;8404816.92547708;7488209.758461092;5961449.429247394;
5349020670.749385;3315308881.7718425;1020265404.201864;87295375.4656601;41075638.37495509;29431531.708946615;22966065.907980837;18340355.10397203;13827113.500041455;11632981.10722265;9961984.148117423;8314634.34725837;7005354.099465083;
3681003350.9462442;2573806836.0277767;1153580585.4907;55473541.71480841;18201318.886318482;12619063.620125478;9654279.399817083;8004860.823995635;6223074.971331082;5121768.659675215;4501087.749084979;3801321.399946929;3233887.402664125;
4092447469.3096514;2597417385.735979;526697622.48809856;33498270.242449544;20290332.84321243;15719908.302514402;13437811.421876773;10971819.274487898;9925203.641284961;8475074.361891799;7460375.058785483;6381828.260130568;5807787.61340899;
4298152018.436896;2373912140.5839314;451572339.62929934;58294514.19189436;28492355.121416762;19804804.815895617;12761259.261754362;9512089.040336737;7454118.836918935;5961629.102465454;4866239.755140056;4315348.181784376;3698529.8042903417;
4497996222.519599;2570651083.14302;476763953.33248675;66757452.48276589;46245963.25924646;34419221.91087713;25874097.85763781;19712432.88734017;16204692.856519;12060850.182183703;10375012.8380416;8830237.594195101;7769148.102399125;
3222837078.1054034;3252263311.0902047;1616021959.3621368;51074009.46883554;20013213.399658;13990904.557874314;10854626.340679672;8913972.676983438;7609252.93609375;6524324.080014372;6025904.315263572;5603746.3250443665;5404632.6383780595;
2835121640.424575;2621280363.0590158;739914662.2341149;51034401.57184531;21757902.431803066;15341861.035975011;11151921.581841532;9442760.286362864;8158459.558826362;7083632.461957148;5913347.558478065;5111140.01776495;4563664.230789977;
3014585963.033397;4206067763.118872;818072963.8016144;37227707.06342416;12202263.271349257;8163486.9149043085;6042485.171944525;4998837.241335569;4326322.268986172;3798373.653370632;3306155.979998144;2886510.6088902038;2659639.910776288;
